;Cop_pro_D16_1_1;Cop_pro_D16_2_3;Cop_pro_D16_3_2;Cop_pro_D16_3_3;Cop_pro_D16_4_1;Cop_pro_D16_4_2;Cop_pro_D16_4_3;Cop_ctr_D16_1_1;Cop_ctr_D16_1_2;Cop_ctr_D16_1_3;Cop_ctr_D16_2_1;Cop_ctr_D16_2_2;Cop_ctr_D16_3_1;Cop_ctr_D16_3_2;Cop_ctr_D16_3_3;Cop_ctr_D16_4_1;Cop_ctr_D16_4_2;Cop_ctr_D16_4_3;Cop_pro_D21_1_1;Cop_pro_D21_1_2;Cop_pro_D21_1_3;Cop_pro_D21_2_1;Cop_pro_D21_2_2;Cop_pro_D21_2_3;Cop_pro_D21_3_1;Cop_pro_D21_3_2;Cop_pro_D21_3_3;Cop_pro_D21_4_1;Cop_pro_D21_4_2;Cop_pro_D21_4_3;Cop_ctr_D21_1_1;Cop_ctr_D21_1_2;Cop_ctr_D21_1_3;Cop_ctr_D21_2_1;Cop_ctr_D21_2_2;Cop_ctr_D21_2_3;Cop_ctr_D21_3_1;Cop_ctr_D21_3_2;Cop_ctr_D21_3_3;Cop_ctr_D21_4_1;Cop_ctr_D21_4_2;Cop_ctr_D21_4_3;Cop_pro_D24_1_1;Cop_pro_D24_1_2;Cop_pro_D24_1_3;Cop_pro_D24_2_1;Cop_pro_D24_2_2;Cop_pro_D24_2_3;Cop_pro_D24_3_1;Cop_pro_D24_3_2;Cop_pro_D24_3_3;Cop_pro_D24_4_1;Cop_pro_D24_4_2;Cop_pro_D24_4_3;Cop_ctr_D24_1_1;Cop_ctr_D24_1_2;Cop_ctr_D24_1_3;Cop_ctr_D24_2_1;Cop_ctr_D24_2_2;Cop_ctr_D24_2_3;Cop_ctr_D24_3_1;Cop_ctr_D24_3_2;Cop_ctr_D24_3_3;Cop_ctr_D24_4_1;Cop_ctr_D24_4_2;Cop_ctr_D24_4_3
Cop_pro_D16_1_1;1;0.5058;0.46106667;0.43663333;0.5446;0.5279;0.517;0.37923333;0.32403333;0.31576667;0.36983333;0.45423333;0.32193333;0.1565;0.1907;0.0748;0.21583333;0.40043333;0.47966667;0.569;0.5017;0.26483333;0.38766667;0.33983333;0.48843333;0.52243333;0.49716667;0.45813333;0.49393333;0.56416667;0.62723333;0.54316667;0.6443;0.33526667;0.35206667;0.31196667;0.48673333;0.49406667;0.44983333;0.5577;0.54506667;0.50573333;0.26396667;0.23136667;0.2651;0.16286667;0.15163333;0.18026667;0.38416667;0.29313333;0.29223333;0.222;0.24633333;0.1476;0.2075;0.23483333;0.28753333;0.23776667;0.2903;0.2661;0.33096667;0.35786667;0.38566667;0.2586;0.20083333;0.2054
Cop_pro_D16_2_3;0.5058;1;0.7705;0.77926667;0.66556667;0.6182;0.62363333;0.37676667;0.28133333;0.31653333;0.39043333;0.3833;0.3001;0.17533333;0.19993333;0.077266667;0.21993333;0.4353;0.4807;0.4846;0.4742;0.3068;0.42663333;0.39213333;0.42493333;0.4301;0.44806667;0.42473333;0.43416667;0.4096;0.38946667;0.4586;0.41846667;0.3702;0.39843333;0.32956667;0.48366667;0.44153333;0.46753333;0.4282;0.4126;0.40836667;0.24223333;0.19173333;0.21886667;0.19273333;0.18773333;0.20876667;0.3868;0.27643333;0.2604;0.2275;0.24356667;0.19776667;0.20226667;0.2271;0.2952;0.23976667;0.29753333;0.25353333;0.36856667;0.38093333;0.45386667;0.2767;0.19906667;0.20403333
Cop_pro_D16_3_2;0.46106667;0.7705;1;0.76216667;0.62503333;0.60423333;0.63206667;0.3705;0.31013333;0.3738;0.42706667;0.49306667;0.2939;0.2128;0.2347;0.092133333;0.27726667;0.45626667;0.45913333;0.46303333;0.44583333;0.26463333;0.42723333;0.37413333;0.3966;0.41076667;0.4257;0.3778;0.39316667;0.3857;0.37786667;0.42456667;0.41166667;0.34226667;0.38083333;0.29813333;0.47623333;0.43313333;0.4552;0.4259;0.416;0.40426667;0.2048;0.14183333;0.17913333;0.13536667;0.1279;0.13393333;0.3767;0.2113;0.20236667;0.18206667;0.19076667;0.13216667;0.17216667;0.1935;0.23343333;0.19313333;0.22546667;0.22716667;0.3174;0.33403333;0.41103333;0.2061;0.16856667;0.17456667
Cop_pro_D16_3_3;0.43663333;0.77926667;0.76216667;1;0.6587;0.62853333;0.6321;0.3793;0.30766667;0.35603333;0.39186667;0.38846667;0.3045;0.20486667;0.2325;0.0888;0.26446667;0.40626667;0.4315;0.4177;0.4122;0.2992;0.40836667;0.39336667;0.3652;0.3695;0.39253333;0.3538;0.36486667;0.34826667;0.3449;0.3905;0.3745;0.34436667;0.3822;0.3211;0.43736667;0.39356667;0.4182;0.38623333;0.3663;0.36203333;0.2368;0.1799;0.2128;0.17903333;0.1698;0.1926;0.3473;0.25233333;0.24446667;0.22083333;0.22926667;0.1685;0.19636667;0.22176667;0.27676667;0.23026667;0.27553333;0.25956667;0.3613;0.37556667;0.43663333;0.25703333;0.1948;0.20083333
Cop_pro_D16_4_1;0.5446;0.66556667;0.62503333;0.6587;1;0.81526667;0.8079;0.44003333;0.3789;0.3868;0.36623333;0.36486667;0.3745;0.1894;0.2303;0.088866667;0.24866667;0.34116667;0.47686667;0.39583333;0.4003;0.30446667;0.45226667;0.4026;0.35753333;0.34986667;0.42963333;0.35906667;0.3685;0.34763333;0.37146667;0.39776667;0.39136667;0.35056667;0.43076667;0.3402;0.45683333;0.43836667;0.48806667;0.438;0.41476667;0.40766667;0.3369;0.28543333;0.33746667;0.21056667;0.2023;0.22386667;0.31163333;0.32603333;0.32823333;0.30006667;0.30943333;0.19573333;0.23726667;0.29133333;0.3227;0.2675;0.3414;0.3284;0.37456667;0.40173333;0.45156667;0.31153333;0.25023333;0.26733333
Cop_pro_D16_4_2;0.5279;0.6182;0.60423333;0.62853333;0.81526667;1;0.88313333;0.44146667;0.43;0.43686667;0.38116667;0.41106667;0.40203333;0.20063333;0.25273333;0.1012;0.28856667;0.34613333;0.42353333;0.366;0.3626;0.27286667;0.4051;0.36373333;0.32453333;0.32756667;0.38096667;0.31656667;0.32973333;0.31173333;0.3266;0.36326667;0.35513333;0.31586667;0.38116667;0.30426667;0.41066667;0.40693333;0.44483333;0.4096;0.38023333;0.39453333;0.29023333;0.22893333;0.2728;0.17056667;0.163;0.18176667;0.29163333;0.26413333;0.2678;0.2564;0.2645;0.15743333;0.20113333;0.2565;0.2894;0.2302;0.2948;0.29276667;0.33776667;0.36316667;0.40566667;0.2673;0.21396667;0.23546667
Cop_pro_D16_4_3;0.517;0.62363333;0.63206667;0.6321;0.8079;0.88313333;1;0.43813333;0.43526667;0.45353333;0.3908;0.45503333;0.39283333;0.1981;0.2457;0.0987;0.29623333;0.35516667;0.45536667;0.37943333;0.3775;0.27566667;0.44256667;0.38443333;0.3435;0.34506667;0.41943333;0.33466667;0.34776667;0.32833333;0.36013333;0.383;0.3795;0.32303333;0.41156667;0.31186667;0.4519;0.43013333;0.48373333;0.454;0.4085;0.4255;0.2821;0.21936667;0.2627;0.16836667;0.15893333;0.17606667;0.31346667;0.25643333;0.25846667;0.25286667;0.25696667;0.15426667;0.20426667;0.25523333;0.28686667;0.22946667;0.2787;0.2829;0.336;0.36376667;0.40956667;0.25416667;0.21723333;0.23683333
Cop_ctr_D16_1_1;0.37923333;0.37676667;0.3705;0.3793;0.44003333;0.44146667;0.43813333;1;0.65966667;0.80993333;0.81886667;0.5441;0.7349;0.6476;0.70526667;0.1042;0.68773333;0.71353333;0.3092;0.3006;0.29593333;0.20653333;0.3048;0.26816667;0.2881;0.2821;0.30063333;0.28823333;0.28973333;0.2803;0.27256667;0.29983333;0.29436667;0.26583333;0.28993333;0.25006667;0.27786667;0.33236667;0.3393;0.2843;0.3047;0.30433333;0.20883333;0.15603333;0.1877;0.10426667;0.0983;0.11603333;0.26973333;0.17333333;0.17823333;0.17386667;0.17493333;0.098233333;0.16083333;0.206;0.231;0.1794;0.251;0.2579;0.2662;0.2966;0.3267;0.2057;0.1685;0.17446667
Cop_ctr_D16_1_2;0.32403333;0.28133333;0.31013333;0.30766667;0.3789;0.43;0.43526667;0.65966667;1;0.72833333;0.60916667;0.56516667;0.6231;0.50723333;0.56116667;0.1351;0.59446667;0.57963333;0.26356667;0.24846667;0.24196667;0.20146667;0.2716;0.2521;0.2393;0.23783333;0.255;0.23823333;0.23876667;0.2352;0.2371;0.24826667;0.24836667;0.24253333;0.24563333;0.24903333;0.24516667;0.29243333;0.304;0.2439;0.2654;0.26516667;0.21263333;0.168;0.18766667;0.11386667;0.10756667;0.1302;0.21616667;0.18386667;0.1908;0.1802;0.17753333;0.11393333;0.19553333;0.21913333;0.24483333;0.1899;0.26596667;0.26663333;0.28993333;0.2636;0.28456667;0.2077;0.17926667;0.1781
Cop_ctr_D16_1_3;0.31576667;0.31653333;0.3738;0.35603333;0.3868;0.43686667;0.45353333;0.80993333;0.72833333;1;0.77306667;0.6027;0.69543333;0.6321;0.68766667;0.10203333;0.74;0.67726667;0.2771;0.2632;0.25823333;0.18446667;0.28933333;0.2655;0.2298;0.22933333;0.2649;0.2206;0.23563333;0.22026667;0.2358;0.25803333;0.2608;0.2372;0.26363333;0.24233333;0.25496667;0.30243333;0.30673333;0.2586;0.2837;0.28026667;0.1873;0.1269;0.16726667;0.072;0.063366667;0.0809;0.22396667;0.1418;0.14536667;0.15386667;0.15;0.0647;0.143;0.18006667;0.2022;0.149;0.2006;0.22793333;0.25626667;0.26796667;0.3035;0.15893333;0.1432;0.16906667
Cop_ctr_D16_2_1;0.36983333;0.39043333;0.42706667;0.39186667;0.36623333;0.38116667;0.3908;0.81886667;0.60916667;0.77306667;1;0.6213;0.75596667;0.67153333;0.7368;0.10946667;0.7265;0.82713333;0.30363333;0.3188;0.30716667;0.1945;0.29403333;0.25146667;0.29976667;0.2972;0.30136667;0.29303333;0.29763333;0.29766667;0.28943333;0.30246667;0.30256667;0.25383333;0.26366667;0.21816667;0.29303333;0.32546667;0.3221;0.2819;0.30323333;0.2962;0.1697;0.12163333;0.14643333;0.0827;0.0754;0.094733333;0.2896;0.15383333;0.1583;0.14206667;0.14473333;0.079;0.1343;0.1673;0.19543333;0.15163333;0.19586667;0.20886667;0.24003333;0.2561;0.29503333;0.16333333;0.13753333;0.13406667
Cop_ctr_D16_2_2;0.45423333;0.3833;0.49306667;0.38846667;0.36486667;0.41106667;0.45503333;0.5441;0.56516667;0.6027;0.6213;1;0.4578;0.39926667;0.44923333;0.10783333;0.52813333;0.65956667;0.39423333;0.41626667;0.3972;0.186;0.338;0.27323333;0.3929;0.39336667;0.4145;0.36876667;0.38823333;0.38696667;0.39436667;0.40003333;0.40786667;0.26806667;0.27483333;0.22283333;0.4103;0.43033333;0.3944;0.391;0.42223333;0.41176667;0.16446667;0.10646667;0.14373333;0.058133333;0.0463;0.066066667;0.34493333;0.1366;0.1385;0.12983333;0.1286;0.0507;0.13313333;0.16193333;0.18296667;0.13353333;0.17456667;0.19573333;0.2252;0.255;0.29756667;0.1478;0.13686667;0.13696667
Cop_ctr_D16_3_1;0.32193333;0.3001;0.2939;0.3045;0.3745;0.40203333;0.39283333;0.7349;0.6231;0.69543333;0.75596667;0.4578;1;0.65233333;0.71543333;0.1774;0.69986667;0.67196667;0.18346667;0.1895;0.18076667;0.15506667;0.18486667;0.17743333;0.17126667;0.17123333;0.17593333;0.17216667;0.17236667;0.1744;0.1643;0.1779;0.18273333;0.17356667;0.17383333;0.18013333;0.1655;0.20913333;0.21833333;0.1626;0.17856667;0.1777;0.15083333;0.11436667;0.12823333;0.076;0.071333333;0.096133333;0.1651;0.1408;0.14796667;0.12816667;0.12693333;0.076566667;0.1427;0.1611;0.2018;0.1403;0.20373333;0.20606667;0.25633333;0.20326667;0.2325;0.15183333;0.12063333;0.1167
Cop_ctr_D16_3_2;0.1565;0.17533333;0.2128;0.20486667;0.1894;0.20063333;0.1981;0.6476;0.50723333;0.6321;0.67153333;0.39926667;0.65233333;1;0.86426667;0.1231;0.67023333;0.6154;0.1096;0.11773333;0.10823333;0.095866667;0.11356667;0.10563333;0.099833333;0.10146667;0.10496667;0.10066667;0.10233333;0.1047;0.096133333;0.1055;0.10853333;0.1038;0.105;0.1083;0.098866667;0.1325;0.14043333;0.093833333;0.1077;0.1039;0.10453333;0.097566667;0.088933333;0.068933333;0.060866667;0.083833333;0.10006667;0.10073333;0.10206667;0.098266667;0.097933333;0.066733333;0.11646667;0.11943333;0.12776667;0.112;0.11853333;0.15356667;0.1373;0.1204;0.14473333;0.1135;0.10173333;0.0924
Cop_ctr_D16_3_3;0.1907;0.19993333;0.2347;0.2325;0.2303;0.25273333;0.2457;0.70526667;0.56116667;0.68766667;0.7368;0.44923333;0.71543333;0.86426667;1;0.1302;0.7196;0.65266667;0.12463333;0.13;0.1197;0.1095;0.1267;0.11906667;0.11243333;0.11303333;0.1175;0.11113333;0.11273333;0.1145;0.1071;0.1162;0.12286667;0.11513333;0.11653333;0.11913333;0.1091;0.14873333;0.1565;0.10856667;0.119;0.12086667;0.11933333;0.097433333;0.1033;0.055466667;0.050566667;0.0716;0.1109;0.11036667;0.11366667;0.10806667;0.10673333;0.0547;0.1147;0.13266667;0.14336667;0.11113333;0.13696667;0.172;0.1609;0.1381;0.16533333;0.12506667;0.10246667;0.099133333
Cop_ctr_D16_4_1;0.0748;0.077266667;0.092133333;0.0888;0.088866667;0.1012;0.0987;0.1042;0.1351;0.10203333;0.10946667;0.10783333;0.1774;0.1231;0.1302;1;0.1133;0.11266667;0.0376;0.039966667;0.036566667;0.032166667;0.039633333;0.0347;0.034;0.035066667;0.034633333;0.0346;0.034566667;0.0354;0.033733333;0.036166667;0.0458;0.037666667;0.036066667;0.037333333;0.0339;0.0603;0.071833333;0.0331;0.039666667;0.042333333;0.040666667;0.041866667;0.0371;0.0302;0.024733333;0.0334;0.034166667;0.0345;0.034766667;0.039566667;0.035833333;0.028733333;0.064266667;0.055233333;0.060733333;0.039566667;0.0477;0.085433333;0.10333333;0.0481;0.066733333;0.040833333;0.036133333;0.033266667
Cop_ctr_D16_4_2;0.21583333;0.21993333;0.27726667;0.26446667;0.24866667;0.28856667;0.29623333;0.68773333;0.59446667;0.74;0.7265;0.52813333;0.69986667;0.67023333;0.7196;0.1133;1;0.66593333;0.14673333;0.1551;0.1437;0.1289;0.15523333;0.1403;0.13483333;0.13583333;0.1404;0.13046667;0.134;0.13476667;0.12483333;0.13343333;0.1387;0.13176667;0.13233333;0.1435;0.12816667;0.16903333;0.1709;0.125;0.1462;0.14346667;0.13236667;0.094066667;0.11146667;0.055733333;0.047733333;0.070466667;0.1331;0.1205;0.1271;0.106;0.106;0.051733333;0.11473333;0.13843333;0.1576;0.1125;0.15653333;0.17516667;0.1686;0.16383333;0.18913333;0.13633333;0.11133333;0.10743333
Cop_ctr_D16_4_3;0.40043333;0.4353;0.45626667;0.40626667;0.34116667;0.34613333;0.35516667;0.71353333;0.57963333;0.67726667;0.82713333;0.65956667;0.67196667;0.6154;0.65266667;0.11266667;0.66593333;1;0.3543;0.38033333;0.3688;0.19013333;0.2986;0.249;0.3548;0.35873333;0.35743333;0.35053333;0.35233333;0.35753333;0.34293333;0.3606;0.36086667;0.2635;0.26843333;0.22003333;0.3498;0.37336667;0.3569;0.3189;0.3475;0.33173333;0.15873333;0.1144;0.1321;0.091133333;0.084733333;0.10136667;0.34303333;0.16136667;0.15893333;0.14103333;0.1449;0.090266667;0.1373;0.15973333;0.19026667;0.1564;0.1977;0.2013;0.24456667;0.26113333;0.3112;0.1628;0.1323;0.12156667
Cop_pro_D21_1_1;0.47966667;0.4807;0.45913333;0.4315;0.47686667;0.42353333;0.45536667;0.3092;0.26356667;0.2771;0.30363333;0.39423333;0.18346667;0.1096;0.12463333;0.0376;0.14673333;0.3543;1;0.69633333;0.77386667;0.5764;0.765;0.7234;0.75443333;0.67666667;0.8066;0.7754;0.78963333;0.6955;0.6376;0.73593333;0.6537;0.61383333;0.72036667;0.59193333;0.79353333;0.76073333;0.70793333;0.64453333;0.68786667;0.63946667;0.49323333;0.37696667;0.426;0.3887;0.37326667;0.3789;0.5699;0.49006667;0.48386667;0.50003333;0.48353333;0.37726667;0.47726667;0.47113333;0.47953333;0.45646667;0.4077;0.45356667;0.60353333;0.6155;0.6736;0.5134;0.39496667;0.4209
Cop_pro_D21_1_2;0.569;0.4846;0.46303333;0.4177;0.39583333;0.366;0.37943333;0.3006;0.24846667;0.2632;0.3188;0.41626667;0.1895;0.11773333;0.13;0.039966667;0.1551;0.38033333;0.69633333;1;0.8263;0.44966667;0.6182;0.58846667;0.73216667;0.81436667;0.74543333;0.7017;0.75383333;0.82173333;0.70126667;0.76616667;0.72376667;0.5286;0.51236667;0.48103333;0.68303333;0.6335;0.58523333;0.59953333;0.71576667;0.62086667;0.34726667;0.2625;0.32056667;0.28073333;0.27116667;0.27293333;0.59246667;0.38396667;0.3766;0.34753333;0.35906667;0.28006667;0.32276667;0.32443333;0.35593333;0.33986667;0.31426667;0.3167;0.4368;0.478;0.5292;0.3674;0.3176;0.2963
Cop_pro_D21_1_3;0.5017;0.4742;0.44583333;0.4122;0.4003;0.3626;0.3775;0.29593333;0.24196667;0.25823333;0.30716667;0.3972;0.18076667;0.10823333;0.1197;0.036566667;0.1437;0.3688;0.77386667;0.8263;1;0.54886667;0.70523333;0.66893333;0.78716667;0.80116667;0.82406667;0.73806667;0.7732;0.7768;0.65776667;0.75336667;0.67136667;0.5658;0.57913333;0.5221;0.695;0.66543333;0.6337;0.58603333;0.70216667;0.62326667;0.38573333;0.29703333;0.35903333;0.33296667;0.32316667;0.31776667;0.62046667;0.4098;0.4002;0.40086667;0.39613333;0.32683333;0.4084;0.39313333;0.40726667;0.38726667;0.3579;0.36906667;0.5147;0.5301;0.58866667;0.44613333;0.40183333;0.38226667
Cop_pro_D21_2_1;0.26483333;0.3068;0.26463333;0.2992;0.30446667;0.27286667;0.27566667;0.20653333;0.20146667;0.18446667;0.1945;0.186;0.15506667;0.095866667;0.1095;0.032166667;0.1289;0.19013333;0.5764;0.44966667;0.54886667;1;0.5593;0.7792;0.64343333;0.51763333;0.56486667;0.66686667;0.63563333;0.49813333;0.42493333;0.57923333;0.4178;0.77676667;0.70176667;0.76153333;0.5291;0.47;0.41313333;0.35163333;0.39316667;0.33716667;0.47813333;0.3213;0.3805;0.6592;0.64403333;0.6589;0.3976;0.575;0.62616667;0.67533333;0.63616667;0.6533;0.66273333;0.6958;0.52673333;0.65813333;0.37056667;0.58646667;0.6016;0.66373333;0.5419;0.56903333;0.39636667;0.40113333
Cop_pro_D21_2_2;0.38766667;0.42663333;0.42723333;0.40836667;0.45226667;0.4051;0.44256667;0.3048;0.2716;0.28933333;0.29403333;0.338;0.18486667;0.11356667;0.1267;0.039633333;0.15523333;0.2986;0.765;0.6182;0.70523333;0.5593;1;0.73146667;0.67126667;0.61016667;0.77293333;0.63333333;0.64336667;0.6274;0.54626667;0.6275;0.56273333;0.56913333;0.66713333;0.55393333;0.65843333;0.71453333;0.712;0.56826667;0.67663333;0.63033333;0.45286667;0.36026667;0.42203333;0.36403333;0.34513333;0.3483;0.54173333;0.44593333;0.4424;0.4585;0.4453;0.3287;0.4802;0.45916667;0.4781;0.43706667;0.40516667;0.4261;0.59083333;0.57763333;0.6493;0.5187;0.43313333;0.45503333
Cop_pro_D21_2_3;0.33983333;0.39213333;0.37413333;0.39336667;0.4026;0.36373333;0.38443333;0.26816667;0.2521;0.2655;0.25146667;0.27323333;0.17743333;0.10563333;0.11906667;0.0347;0.1403;0.249;0.7234;0.58846667;0.66893333;0.7792;0.73146667;1;0.72253333;0.6234;0.7051;0.73336667;0.71926667;0.59786667;0.5437;0.66413333;0.5489;0.7331;0.74316667;0.69573333;0.67083333;0.60296667;0.5593;0.477;0.52803333;0.46936667;0.5007;0.33463333;0.3921;0.50666667;0.48916667;0.50306667;0.49286667;0.58503333;0.58403333;0.56023333;0.54723333;0.4862;0.58576667;0.55883333;0.55626667;0.54106667;0.39676667;0.52193333;0.66453333;0.70836667;0.6366;0.5742;0.40996667;0.42396667
Cop_pro_D21_3_1;0.48843333;0.42493333;0.3966;0.3652;0.35753333;0.32453333;0.3435;0.2881;0.2393;0.2298;0.29976667;0.3929;0.17126667;0.099833333;0.11243333;0.034;0.13483333;0.3548;0.75443333;0.73216667;0.78716667;0.64343333;0.67126667;0.72253333;1;0.83503333;0.8005;0.84833333;0.86016667;0.7766;0.68923333;0.84256667;0.68396667;0.6146;0.58596667;0.53006667;0.7578;0.6572;0.57133333;0.5766;0.63176667;0.5696;0.3965;0.31106667;0.35556667;0.36603333;0.34396667;0.3689;0.57623333;0.4364;0.44083333;0.4097;0.40376667;0.35566667;0.43256667;0.40703333;0.41616667;0.3918;0.3808;0.38196667;0.55443333;0.54913333;0.58373333;0.49096667;0.38716667;0.3843
Cop_pro_D21_3_2;0.52243333;0.4301;0.41076667;0.3695;0.34986667;0.32756667;0.34506667;0.2821;0.23783333;0.22933333;0.2972;0.39336667;0.17123333;0.10146667;0.11303333;0.035066667;0.13583333;0.35873333;0.67666667;0.81436667;0.80116667;0.51763333;0.61016667;0.6234;0.83503333;1;0.78866667;0.71296667;0.73633333;0.7945;0.7013;0.75363333;0.71553333;0.50003333;0.49276667;0.42256667;0.6577;0.57773333;0.54063333;0.62043333;0.67096667;0.6074;0.30673333;0.22196667;0.26226667;0.2672;0.2486;0.261;0.61353333;0.34146667;0.3352;0.32966667;0.31896667;0.25076667;0.33333333;0.3045;0.31413333;0.28816667;0.2848;0.2829;0.45543333;0.44206667;0.48983333;0.39116667;0.3461;0.30563333
Cop_pro_D21_3_3;0.49716667;0.44806667;0.4257;0.39253333;0.42963333;0.38096667;0.41943333;0.30063333;0.255;0.2649;0.30136667;0.4145;0.17593333;0.10496667;0.1175;0.034633333;0.1404;0.35743333;0.8066;0.74543333;0.82406667;0.56486667;0.77293333;0.7051;0.8005;0.78866667;1;0.7271;0.75623333;0.7453;0.6863;0.74636667;0.69696667;0.5561;0.605;0.51056667;0.7399;0.68573333;0.67186667;0.6486;0.70023333;0.6376;0.41146667;0.311;0.3722;0.33906667;0.32036667;0.3274;0.6132;0.4236;0.4144;0.41936667;0.40583333;0.31666667;0.4149;0.40243333;0.40043333;0.3716;0.35866667;0.36196667;0.5343;0.5358;0.57466667;0.4848;0.43346667;0.4201
Cop_pro_D21_4_1;0.45813333;0.42473333;0.3778;0.3538;0.35906667;0.31656667;0.33466667;0.28823333;0.23823333;0.2206;0.29303333;0.36876667;0.17216667;0.10066667;0.11113333;0.0346;0.13046667;0.35053333;0.7754;0.7017;0.73806667;0.66686667;0.63333333;0.73336667;0.84833333;0.71296667;0.7271;1;0.90363333;0.7626;0.64193333;0.8039;0.631;0.69926667;0.65593333;0.61726667;0.73943333;0.66126667;0.56503333;0.51173333;0.5985;0.51613333;0.4972;0.3492;0.39366667;0.44;0.42823333;0.4518;0.55253333;0.5427;0.54416667;0.51376667;0.50996667;0.46003333;0.48606667;0.48723333;0.49866667;0.49133333;0.39833333;0.4689;0.59066667;0.62513333;0.61963333;0.53306667;0.36843333;0.36483333
Cop_pro_D21_4_2;0.49393333;0.43416667;0.39316667;0.36486667;0.3685;0.32973333;0.34776667;0.28973333;0.23876667;0.23563333;0.29763333;0.38823333;0.17236667;0.10233333;0.11273333;0.034566667;0.134;0.35233333;0.78963333;0.75383333;0.7732;0.63563333;0.64336667;0.71926667;0.86016667;0.73633333;0.75623333;0.90363333;1;0.79086667;0.683;0.84426667;0.67076667;0.69553333;0.64516667;0.61403333;0.7834;0.69513333;0.58756667;0.54493333;0.6426;0.55286667;0.48493333;0.35213333;0.4033;0.4192;0.41026667;0.42703333;0.55373333;0.5268;0.52633333;0.49136667;0.49596667;0.44213333;0.46216667;0.4616;0.48376667;0.4678;0.3961;0.45196667;0.56163333;0.61193333;0.62813333;0.5073;0.35543333;0.35953333
Cop_pro_D21_4_3;0.56416667;0.4096;0.3857;0.34826667;0.34763333;0.31173333;0.32833333;0.2803;0.2352;0.22026667;0.29766667;0.38696667;0.1744;0.1047;0.1145;0.0354;0.13476667;0.35753333;0.6955;0.82173333;0.7768;0.49813333;0.6274;0.59786667;0.7766;0.7945;0.7453;0.7626;0.79086667;1;0.76423333;0.7753;0.75563333;0.54296667;0.5274;0.4776;0.68763333;0.63443333;0.58433333;0.62603333;0.72843333;0.61656667;0.36956667;0.28653333;0.33353333;0.29656667;0.2893;0.3063;0.57633333;0.4099;0.4076;0.38396667;0.38223333;0.30673333;0.35143333;0.35483333;0.3644;0.3487;0.33363333;0.34473333;0.4568;0.4897;0.5382;0.4009;0.35723333;0.32463333
Cop_ctr_D21_1_1;0.62723333;0.38946667;0.37786667;0.3449;0.37146667;0.3266;0.36013333;0.27256667;0.2371;0.2358;0.28943333;0.39436667;0.1643;0.096133333;0.1071;0.033733333;0.12483333;0.34293333;0.6376;0.70126667;0.65776667;0.42493333;0.54626667;0.5437;0.68923333;0.7013;0.6863;0.64193333;0.683;0.76423333;1;0.74703333;0.89573333;0.5158;0.53716667;0.45986667;0.72836667;0.60766667;0.5803;0.6889;0.69376667;0.59843333;0.30596667;0.21863333;0.2816;0.23336667;0.2141;0.24433333;0.49763333;0.3288;0.32966667;0.3074;0.3006;0.2256;0.3167;0.33033333;0.35283333;0.31043333;0.2966;0.31776667;0.44553333;0.48073333;0.50813333;0.3448;0.31163333;0.2968
Cop_ctr_D21_1_2;0.54316667;0.4586;0.42456667;0.3905;0.39776667;0.36326667;0.383;0.29983333;0.24826667;0.25803333;0.30246667;0.40003333;0.1779;0.1055;0.1162;0.036166667;0.13343333;0.3606;0.73593333;0.76616667;0.75336667;0.57923333;0.6275;0.66413333;0.84256667;0.75363333;0.74636667;0.8039;0.84426667;0.7753;0.74703333;1;0.7476;0.65536667;0.6175;0.59526667;0.80896667;0.7196;0.61886667;0.5993;0.69703333;0.60326667;0.4142;0.33806667;0.37616667;0.3643;0.35713333;0.38556667;0.51026667;0.46936667;0.46196667;0.4134;0.41936667;0.3769;0.41866667;0.4348;0.4498;0.4415;0.41593333;0.40336667;0.53563333;0.6004;0.6189;0.46836667;0.36033333;0.38206667
