;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18;Coord 19
Cop_pro_D24_1_1;0.095318;0.3298;-0.068387;0.051903;-0.19082;-0.0042888;-0.016819;-0.24696;-0.053219;-0.16537;-0.21994;-0.50011;0.16092;-0.036251;-0.17548;0.13543;-0.27971;0.39629;0.084209
Cop_pro_D24_1_2;0.088248;0.5074;-0.23811;-0.039588;0.16638;0.24152;0.15091;0.11933;-0.13383;0.4886;-0.23494;-0.15617;-0.12396;0.10638;0.069073;-0.14322;0.11232;-0.13603;-0.091789
Cop_pro_D24_1_3;0.15611;0.44512;-0.14646;-0.028103;-0.13733;0.026021;0.1673;-0.018955;-0.11518;-0.26666;0.21856;0.65812;0.00090163;-0.07962;-0.16996;0.068247;-0.029609;0.076927;0.1483
Cop_pro_D24_2_1;-0.33071;-0.05804;0.073776;-0.15166;0.14239;0.045321;0.13437;0.15326;-0.045857;-0.148;0.024095;-0.059127;-0.3255;-0.21895;0.038726;0.29497;0.15956;0.51574;-0.30605
Cop_pro_D24_2_2;-0.34232;-0.050939;0.060961;-0.14732;0.17128;0.017663;0.11281;0.1675;0.022035;-0.041171;-0.095445;-0.048963;-0.1773;-0.18292;0.10539;0.013432;-0.58985;-0.27925;0.43912
Cop_pro_D24_2_3;-0.31689;-0.10585;0.0017197;-0.061843;0.20524;0.033302;0.17411;-0.16418;-0.17314;-0.0068817;0.15825;-0.084647;-0.21624;0.27632;-0.42526;-0.10339;0.37285;-0.094592;0.17484
Cop_pro_D24_3_1;0.30204;0.10982;0.73709;0.086946;0.00054389;-0.35753;-0.028236;0.19176;-0.064961;0.10595;-0.0088178;-0.024924;-0.1291;-0.065977;-0.16584;-0.10592;0.029827;0.029164;0.067362
Cop_pro_D24_3_2;-0.11957;0.17024;0.14437;0.10222;0.15738;0.32274;-0.28094;0.14971;0.31795;-0.1252;0.068962;0.017613;0.17899;-0.17461;0.08823;0.16642;0.11298;-0.13583;-0.18665
Cop_pro_D24_3_3;-0.13284;0.16048;0.12889;0.10849;0.048275;0.23151;-0.26398;0.017491;0.25562;0.097507;0.36369;0.035948;-0.065578;0.14429;-0.069651;-0.33063;-0.23114;0.076928;-0.12525
Cop_pro_D24_4_1;-0.12812;0.12279;0.091566;-0.036213;-0.22409;-0.25899;-0.015705;-0.21406;-0.14837;-0.11622;0.073316;-0.11326;-0.037622;0.13236;0.1187;0.14265;-0.066076;-0.48045;-0.5357
Cop_pro_D24_4_2;-0.14103;0.16674;0.075415;0.001358;-0.15853;-0.14728;-0.12228;-0.20971;-0.0043802;-0.0628;0.067202;-0.069128;-0.023805;0.1673;0.44099;0.19276;0.32678;-0.052116;0.46302
Cop_pro_D24_4_3;-0.3212;-0.0099608;0.11679;-0.122;0.10297;-0.12877;0.067118;0.050842;-0.12068;0.049146;-0.2837;0.18339;0.67041;-0.10849;0.14071;-0.28551;0.16784;0.10835;-0.02781
Cop_ctr_D24_1_1;-0.030468;-0.22259;-0.048267;-0.085501;-0.28857;0.025003;-0.25657;-0.03789;-0.21322;0.54322;0.094414;0.24922;-0.098705;0.034862;0.22979;0.2159;-0.14876;0.21805;-0.014767
Cop_ctr_D24_1_2;-0.085582;-0.16469;-0.14014;-0.079968;-0.23668;-0.057225;0.094917;0.12407;-0.27226;-0.2213;0.051901;0.0037023;0.033268;0.16872;-0.036372;-0.35966;-0.24406;0.036272;-0.19828
Cop_ctr_D24_1_3;0.053096;-0.1386;-0.21106;0.23737;-0.23821;0.11046;-0.45688;0.43811;-0.21929;-0.24413;-0.23553;-0.074767;-0.12337;-0.08111;-0.11453;-0.068279;0.23011;-0.12998;0.12756
Cop_ctr_D24_2_1;-0.1061;-0.105;-0.15454;-0.023009;-0.12059;-0.2452;-0.026245;0.069798;0.32471;0.30908;-0.14059;0.086153;0.18321;0.0049571;-0.55778;0.34619;-0.023796;-0.11973;-0.00025156
Cop_ctr_D24_2_2;0.14857;-0.055896;-0.32906;0.41384;0.5814;-0.45512;-0.091763;0.039991;-0.11409;-0.0072495;0.17242;-0.00078121;0.047209;0.042639;0.14278;0.070537;-0.10882;0.086658;-0.044863
Cop_ctr_D24_2_3;-0.014862;-0.060982;-0.24477;0.095644;-0.25678;-0.25009;0.15247;-0.17797;0.4931;0.043718;0.038154;-0.056545;-0.21858;-0.3885;0.12588;-0.39747;0.16731;0.02391;0.002465
Cop_ctr_D24_3_1;0.15426;-0.26161;0.11224;0.23116;0.0021379;0.32506;0.09594;-0.32897;-0.31248;0.17388;0.19457;-0.1036;0.13303;-0.40648;-0.095815;-0.078015;0.028932;-0.050099;0.055068
Cop_ctr_D24_3_2;0.040332;-0.20657;0.057234;0.22949;-0.10917;0.19007;0.18309;0.0639;0.25586;-0.055499;0.13431;-0.085454;0.22036;0.53161;0.069407;0.045195;-0.036838;0.15755;0.10495
Cop_ctr_D24_3_3;0.1879;-0.17019;0.098434;0.2962;-0.03719;0.18114;0.48883;0.082779;0.089742;-0.063434;-0.3598;0.1754;-0.12953;0.064405;0.1785;0.16691;-0.0097548;-0.11415;-0.11525
Cop_ctr_D24_4_1;0.14869;-0.15954;0.017408;-0.14999;0.26161;0.14293;-0.29679;-0.53251;0.071475;-0.19577;-0.32002;0.19655;-0.080008;0.029954;-0.066695;0.017638;-0.062651;-0.084633;-0.043146
Cop_ctr_D24_4_2;0.35381;-0.12996;-0.012949;-0.48929;0.1206;-0.046856;-0.11021;0.060994;0.14251;-0.014925;-0.1563;0.015995;-0.11805;0.20348;0.077819;-0.19131;0.042633;0.14612;-0.010228
Cop_ctr_D24_4_3;0.34131;-0.11198;-0.12214;-0.44013;0.037751;0.058606;0.14455;0.20168;0.017957;-0.076493;0.39525;-0.24462;0.23906;-0.16437;0.051405;0.18713;0.079933;-0.1951;0.033145