Axis;Eigenvalue;Percent
1;0.67928;40.781
2;0.34522;20.726
3;0.17845;10.714
4;0.1187;7.1265
5;0.078409;4.7074
6;0.050411;3.0265
7;0.041945;2.5182
8;0.030603;1.8373
9;0.02119;1.2721
10;0.015884;0.95364
11;0.014396;0.86428
12;0.0080486;0.48321
13;0.0060392;0.36257
14;0.0057531;0.3454
15;0.0042805;0.25698
16;0.0015311;0.091921
17;0.0003324;0.019956
18;1.9293E-18;1.1583E-16
19;-0.0027965;-0.16789
20;-0.0061085;-0.36673
21;-0.0078331;-0.47027
22;-0.0083929;-0.50388
23;-0.01215;-0.72944
24;-0.027902;-1.6751